go_term,p_value_rank_sum,p_value_gprofiler,p_value_clusterprofiler,methods,significant_methods
GO:0001818,0.0397919757893466,8.74967002459936e-05,0.0005669612486103,3,3
GO:0002221,0.0040742211120645,1.0151449457107636e-10,3.03792111767096e-07,3,3
GO:0002227,1.1224057134906018e-07,0.0111717508870288,1.89459724107683e-06,3,3
GO:0006935,0.000435191540066,0.0010332726348314,0.0004761613021056,3,3
GO:0009615,4.7677238348458914e-05,2.2119175160039072e-10,5.01353622700991e-16,3,3
GO:0030183,0.0008044437230912,5.581088397206878e-07,0.0007808661323756,3,3
GO:0032481,0.0395067796878079,0.0060821545987215,0.0001515614235635,3,3
GO:0032760,6.279723088771796e-13,0.0075980195235479,8.51422104219381e-05,3,3
GO:0034341,5.397109846119267e-10,0.0120948627851478,4.41950952076918e-07,3,3
GO:0035456,1.1485264249700222e-05,0.0374333037256487,5.3548354909567e-08,3,3
GO:0042100,0.005487403934948,0.0002376342705045,0.0001115728559118,3,3
GO:0042113,0.0034607963937658,9.601381831689594e-11,0.0001344853474973,3,3
GO:0043401,0.044426397795373,0.0006344875466091,0.0016609388108301,3,3
GO:0045088,0.0225511336993304,1.4356366786210637e-12,8.4946651011277e-09,3,3
GO:0045089,0.0116634430402626,2.67721730005589e-11,1.92141299838227e-07,3,3
GO:0045824,0.0043305978440197,0.0144550764132713,0.0029711150832796,3,3
GO:0050727,0.0169591908269001,0.0001344775331332,0.0015239505109797,3,3
GO:0050729,6.91681593826523e-08,0.0005094302957977,9.95643661807334e-06,3,3
GO:0050852,0.0202854667932609,2.065904716432969e-06,0.0019484871887983,3,3
GO:0050853,1.345604865076009e-05,0.0016332967908865,7.96911503387086e-16,3,3
GO:0051607,1.0874201045142766e-10,4.0736377009631345e-09,2.06997617023009e-17,3,3
GO:0071222,2.922767719326749e-07,0.0004809640420885,5.44036204591926e-05,3,3
GO:0071346,0.0001653488150598,0.0392430104099369,5.69761577825223e-06,3,3
GO:1905665,0.0029926569076026,0.0463495943263863,0.0017201250027727,3,3
