go_term,number_of_genes,statistic,p_value
GO:0005634,6535,-15.1539510404696,7.134541160486106e-52
GO:0019814,183,-14.623536038111855,1.9880115499455412e-48
GO:0005654,3644,-14.02747150813633,1.0585897050586642e-44
GO:0003723,1565,-13.583157249614674,5.04058975636277e-42
GO:0002250,490,-12.661100865671298,9.71276893582959e-37
GO:0003677,2302,-12.56768370763734,3.1790179821664116e-36
GO:0006355,1493,-11.889339684505602,1.3446543906485898e-32
GO:0006357,1521,-11.570701257955463,5.800660915045762e-31
GO:0008270,2163,-11.106521611284975,1.1661398453925869e-28
GO:0003823,121,-10.73706536280285,6.817715039246861e-27
GO:0002181,92,-10.416659606929375,2.081352946234556e-25
GO:0000978,1101,-10.27820177367721,8.836077198871702e-25
GO:0003676,622,-9.66296964424107,4.331229370250489e-22
GO:0000981,1211,-9.29030296674199,1.5384976869428507e-20
GO:0003682,489,-9.242637040346038,2.4049565510742077e-20
GO:0000122,936,-9.223924654161404,2.864203225999543e-20
GO:0042742,180,9.079788903825332,1.0878563162728774e-19
GO:0000785,1151,-9.009460569494886,2.070724988728924e-19
GO:0045892,631,-8.968544416004379,3.0045858252306487e-19
GO:0022626,101,-8.713980265514783,2.93387473659764e-18
GO:0042101,137,-8.6361928525902,5.811736961688599e-18
GO:0006397,425,-8.51106776130609,1.7233887993246878e-17
GO:1901740,47,-8.35614587435823,6.480057151118938e-17
GO:0006338,355,-8.254329743993422,1.5275706785747353e-16
GO:0000381,69,-8.012184253326692,1.1268886673226795e-15
GO:0005615,1813,7.986441490606434,1.3888963832110374e-15
GO:0003729,274,-7.907467519391263,2.6267763914168328e-15
GO:0016064,82,-7.886231152989439,3.114494775561444e-15
GO:0035580,61,7.855177778447024,3.992055088105498e-15
GO:0008380,327,-7.718916026311665,1.1732316248777258e-14
GO:0022625,55,-7.610252724092356,2.7356047575263116e-14
GO:0005743,511,7.601231672349402,2.933254489747728e-14
GO:1904724,55,7.573562522517676,3.631258211832406e-14
GO:0005515,14369,-7.504172682819482,6.181776917470326e-14
GO:0045087,584,7.455231852093802,8.970993194949563e-14
GO:0045893,755,-7.398260912009031,1.3797954555040636e-13
GO:0016887,404,-7.332148440252213,2.2649202080843618e-13
GO:0005739,1619,7.254156265975376,4.041732881521945e-13
GO:0050830,103,7.232878874190369,4.728611247995496e-13
GO:0032760,113,7.19426694132162,6.279723088771795e-13
GO:0005764,344,7.1910035323018535,6.431681808725619e-13
GO:1990904,414,-7.173333214356121,7.319340985843102e-13
GO:0006941,65,-7.062552987006847,1.6347094787546406e-12
GO:0030527,94,7.0329539547998925,2.0220611219249086e-12
GO:0042274,75,-6.978242078381356,2.988963234109958e-12
GO:0003713,299,-6.9674978513581465,3.2262737840403222e-12
GO:0032040,73,-6.863748738465168,6.707656944175064e-12
GO:0045944,1112,-6.815850574050745,9.370765824289067e-12
GO:0005839,23,6.8084433979112156,9.866039040045928e-12
GO:0007399,618,-6.765471875419709,1.3287540656577455e-11
GO:0006364,167,-6.725524944457101,1.7496051479009048e-11
GO:0006325,470,-6.702736552089195,2.0455205772262577e-11
