go_term,p_value_rank_sum,p_value_gprofiler,p_value_clusterprofiler,methods,significant_methods
GO:0001818,0.0397919757893466,8.74967002459936e-05,0.0005669612486103,3,3
GO:0002221,0.0040742211120645,1.0151449457107636e-10,3.03792111767096e-07,3,3
GO:0002227,1.1224057134906018e-07,0.0111717508870288,1.89459724107683e-06,3,3
GO:0006935,0.000435191540066,0.0010332726348314,0.0004761613021056,3,3
GO:0009615,4.7677238348458914e-05,2.2119175160039072e-10,5.01353622700991e-16,3,3
GO:0030183,0.0008044437230912,5.581088397206878e-07,0.0007808661323756,3,3
GO:0032481,0.0395067796878079,0.0060821545987215,0.0001515614235635,3,3
GO:0032760,6.279723088771797e-13,0.0075980195235479,8.51422104219381e-05,3,3
GO:0034341,5.397109846119267e-10,0.0120948627851478,4.41950952076918e-07,3,3
GO:0035456,1.1485264249700222e-05,0.0374333037256487,5.3548354909567e-08,3,3
